Density_uncert,Density_values,Dyn_G_horz_uncert,Dyn_G_horz_values,Dyn_G_vert_uncert,Dyn_G_vert_values,Eff_Por_uncert,Eff_Por_values,KIC_uncert,KIC_values,MD,Perm_uncert,Perm_values,Pois_xy_uncert,Pois_xy_values,Pois_zx_uncert,Pois_zx_values,RHOB_Recon_uncert,RHOB_Recon_values,Static_E_horz_uncert,Static_E_horz_values,Static_E_vert_uncert,Static_E_vert_values,Tensile_Strength_uncert,Tensile_Strength_values,VPV_Recon_uncert,VPV_Recon_values,unique_well_id
0.0,2.525,307386.71345332323,2418369.79148634,268470.2521165485,1984184.3404007345,0.005012239760228656,0.05471077771666977,110.93112612819496,2715.1982291922504,5559.0,70.76578557973032,1206.464177970022,0.029478658300542873,0.20572686562066314,0.02946681716029737,0.20486206351769087,0.0,2.525,604821.4305284753,5831786.8572010435,558219.057515092,4781336.877549435,106.65727751872598,1605.9072947703821,468.205959735142,15291.338307558271,BUCHANAN_42_WDVG_Petrophysic
0.0,2.518,307162.3230671977,2415745.5539370757,276111.95307892415,2035798.7220457315,0.005011719573103933,0.05574241931565993,110.91330328411533,2728.6973764646586,5559.5,70.7194385477013,1234.2668376945528,0.029479140208694136,0.20616516534521304,0.029458515596652118,0.20526053201824898,0.0,2.518,604787.2862705907,5827576.270992952,574909.636384903,4907335.701629819,106.53324385003309,1605.0360157426899,468.3398631801681,15367.906979725094,BUCHANAN_42_WDVG_Petrophysic
0.0,2.511,307552.80975241173,2416098.1382001964,290525.1895705462,2087214.6143831164,0.0050112415132346644,0.05678944577271686,110.8978000881301,2733.7902052566888,5560.0,70.67715669255716,1265.455800252448,0.02947965184288988,0.20469329007554213,0.02947965184288988,0.20469329007554213,0.0,2.511,604757.5887915969,5821314.430507572,591411.4222827425,5028906.8817899,106.42525187235391,1603.3956533103412,468.4158776928263,15435.348102089878,BUCHANAN_42_WDVG_Petrophysic
0.0,2.514,308945.19688871293,2456896.818630528,300124.30032193364,2177668.4015517947,0.005010962804749723,0.0561013012974643,110.8664470952735,2735.6077698543972,5560.5,70.63012520902969,1217.4540676829529,0.029479216152663145,0.2059176894483399,0.029479216152663145,0.2059176894483399,0.0,2.514,604697.538126167,5925630.669471807,609507.8666238801,5252177.694368,106.20656423578292,1617.0201629764235,468.41967154977743,15573.74275553107,BUCHANAN_42_WDVG_Petrophysic
0.0,2.517,309169.9280201475,2477149.7408343335,303301.71689962415,2215741.9853322865,0.0050108671507446785,0.05550451640433224,110.8499925601043,2742.777811904971,5561.0,70.6075217450604,1183.0997793249182,0.029478885000696734,0.20835559878477986,0.029478885000696734,0.20835559878477986,0.0,2.517,604666.0270174571,5986555.516730866,616113.4870690561,5354808.466877543,106.09163801033665,1625.6111466764764,468.35729785044424,15647.822119208047,BUCHANAN_42_WDVG_Petrophysic
0.0,2.532,311428.2751307748,2556937.264452062,306357.19801786257,2291450.7931327517,0.005011110693475049,0.052879352777587346,110.82577346614686,2738.293493481879,5561.5,70.5775906376727,1066.0345559188866,0.02947769342198375,0.21284953357475664,0.02947769342198375,0.21284953357475664,0.0,2.532,604619.6519824745,6202360.337141195,619906.7799944474,5558370.051321128,105.92228470631305,1648.7140251393107,468.1550102863084,15758.343020237962,BUCHANAN_42_WDVG_Petrophysic
0.0,2.545,313217.38179518544,2599628.5047594453,295343.81555689155,2238481.996972458,0.005011922489052304,0.050885785650364494,110.84890391016462,2716.8972925313533,5562.0,70.61442850287953,1007.5511715233653,0.02947697125796181,0.21316669772345923,0.02947697125796181,0.21316669772345923,0.0,2.545,604663.942315286,6307565.456853581,594743.538514533,5431303.624360982,106.08403057708661,1653.699494693155,468.4208258942316,15653.91730328878,BUCHANAN_42_WDVG_Petrophysic
0.0,2.55,313579.6153494937,2594830.06993207,281146.995596644,2132233.3066766616,0.005012655874049868,0.05031098682097145,110.88661529694359,2700.1004390710145,5562.5,70.68292454205778,1012.1286167681924,0.029476792969534954,0.21102750015541352,0.029476792969534954,0.21102750015541352,0.0,2.55,604736.1651977672,6284821.145835863,564675.8289064862,5164386.342265498,106.34728227611043,1645.879357803201,468.5978217555694,15487.002220844142,BUCHANAN_42_WDVG_Petrophysic
0.0,2.552,316629.31786801014,2597479.9328042213,270392.01934599155,2040049.6486047392,0.005013387944581175,0.05027453459639688,110.93179594575969,2649.081866527784,5563.0,70.77571504385595,1041.5004401620624,0.02947679908436825,0.19993467655384453,0.02947679908436825,0.19993467655384453,0.0,2.552,604822.7138062809,6233612.48604907,537160.8751121992,4895852.630504624,106.66193652431254,1632.9949065781263,468.72081064399407,15296.981490679651,BUCHANAN_42_WDVG_Petrophysic
0.0,2.547,317581.2889405255,2561028.4925109823,260346.16261118455,1938064.5255459682,0.005013730005455336,0.05134394943066226,110.97093073917202,2619.206596297842,5563.5,70.8659773296383,1107.1340894186367,0.02947721776961483,0.19038049363190876,0.02947721776961483,0.19038049363190876,0.0,2.547,604897.6993811451,6097196.722241212,514218.61305384664,4614068.413219801,106.93384013114401,1615.4048864746132,468.65705784587493,15138.753408937167,BUCHANAN_42_WDVG_Petrophysic
