Well,MD,Class 1,Class 2,Class 3,Class 3b,Class 4,
BARR RANCH 1,7095.917141,3,0,0,0,0,
BARR RANCH 1,7098.545145,0,0,3,0,0,
BARR RANCH 1,7099.00124,0,0,2,0,0,
BARR RANCH 1,7100.377658,0,0,1,0,0,
BARR RANCH 1,7104.251782,2,0,0,0,0,
BARR RANCH 1,7106.495498,3,0,0,0,0,
BARR RANCH 1,7115.383663,0,0,2,0,0,
BARR RANCH 1,7117.073855,3,0,0,0,0,
BARR RANCH 1,7117.760481,0,0,1,0,0,
BARR RANCH 1,7122.415587,0,0,3,0,0,
BARR RANCH 1,7127.652211,3,0,0,0,0,
BARR RANCH 1,7131.766085,0,0,2,0,0,
BARR RANCH 1,7133.02705,2,0,0,0,0,
BARR RANCH 1,7135.143304,0,0,1,0,0,
BARR RANCH 1,7138.230568,3,0,0,0,0,
BARR RANCH 1,7146.286028,0,0,3,0,0,
BARR RANCH 1,7148.148508,0,0,2,0,0,
BARR RANCH 1,7148.808924,3,0,0,0,0,
BARR RANCH 1,7152.526126,0,0,1,0,0,
BARR RANCH 1,7159.387281,3,0,0,0,0,
BARR RANCH 1,7161.802318,2,0,0,0,0,
BARR RANCH 1,7164.53093,0,0,2,0,0,
BARR RANCH 1,7169.908949,0,0,1,0,0,
BARR RANCH 1,7169.965638,3,0,0,0,0,
BARR RANCH 1,7170.156469,0,0,3,0,0,
BARR RANCH 1,7180.543994,3,0,0,0,0,
BARR RANCH 1,7180.913353,0,0,2,0,0,
BARR RANCH 1,7187.291772,0,0,1,0,0,
BARR RANCH 1,7190.577586,2,0,0,0,0,
BARR RANCH 1,7191.122351,3,0,0,0,0,
BARR RANCH 1,7194.026911,0,0,3,0,0,
BARR RANCH 1,7197.295775,0,0,2,0,0,
BARR RANCH 1,7201.700707,3,0,0,0,0,
BARR RANCH 1,7204.674595,0,0,1,0,0,
BARR RANCH 1,7212.279064,3,0,0,0,0,
BARR RANCH 1,7213.678198,0,0,2,0,0,
BARR RANCH 1,7217.897352,0,0,3,0,0,
BARR RANCH 1,7219.352854,2,0,0,0,0,
BARR RANCH 1,7222.057418,0,0,1,0,0,
BARR RANCH 1,7222.857421,3,0,0,0,0,
BARR RANCH 1,7230.06062,0,0,2,0,0,
BARR RANCH 1,7233.435777,3,0,0,0,0,
BARR RANCH 1,7239.44024,0,0,1,0,0,
BARR RANCH 1,7241.767793,0,0,3,0,0,
BARR RANCH 1,7244.014134,3,0,0,0,0,
BARR RANCH 1,7246.443043,0,0,2,0,0,
BARR RANCH 1,7248.128122,2,0,0,0,0,
BARR RANCH 1,7254.59249,3,0,0,0,0,
