,MD,Well
76,7077.0747619047615,TAYLOR 1
77,7089.405714285715,TAYLOR 1
78,7101.736666666667,TAYLOR 1
79,7114.067619047619,TAYLOR 1
80,7126.398571428572,TAYLOR 1
81,7138.729523809524,TAYLOR 1
82,7151.060476190476,TAYLOR 1
83,7163.391428571428,TAYLOR 1
84,7175.722380952381,TAYLOR 1
85,7188.053333333333,TAYLOR 1
86,7200.384285714285,TAYLOR 1
87,7212.715238095238,TAYLOR 1
88,7225.0461904761905,TAYLOR 1
89,7237.377142857143,TAYLOR 1
90,7249.708095238095,TAYLOR 1
91,7262.039047619048,TAYLOR 1
92,7274.37,TAYLOR 1
93,7293.245454545455,TAYLOR 1
94,7312.120909090909,TAYLOR 1
95,7330.996363636364,TAYLOR 1
96,7349.8718181818185,TAYLOR 1
97,7368.7472727272725,TAYLOR 1
98,7387.622727272727,TAYLOR 1
99,7406.498181818181,TAYLOR 1
100,7425.373636363636,TAYLOR 1
101,7444.249090909091,TAYLOR 1
102,7463.124545454545,TAYLOR 1
103,7482.0,TAYLOR 1
104,7500.875454545455,TAYLOR 1
105,7519.750909090909,TAYLOR 1
106,7538.626363636364,TAYLOR 1
107,7557.501818181819,TAYLOR 1
108,7576.377272727273,TAYLOR 1
109,7595.2527272727275,TAYLOR 1
110,7614.1281818181815,TAYLOR 1
111,7633.003636363636,TAYLOR 1
112,7651.879090909091,TAYLOR 1
113,7670.754545454545,TAYLOR 1
114,7689.63,TAYLOR 1
115,7708.505454545455,TAYLOR 1
116,7727.380909090909,TAYLOR 1
117,7746.256363636364,TAYLOR 1
118,7765.131818181819,TAYLOR 1
119,7784.007272727273,TAYLOR 1
120,7802.882727272728,TAYLOR 1
121,7821.7581818181825,TAYLOR 1
122,7840.6336363636365,TAYLOR 1
123,7859.509090909091,TAYLOR 1
124,7878.384545454545,TAYLOR 1
125,7897.26,TAYLOR 1
126,7916.125789473685,TAYLOR 1
127,7934.991578947369,TAYLOR 1
128,7953.857368421052,TAYLOR 1
129,7972.723157894737,TAYLOR 1
130,7991.588947368421,TAYLOR 1
131,8010.454736842105,TAYLOR 1
132,8029.32052631579,TAYLOR 1
133,8048.186315789473,TAYLOR 1
134,8067.0521052631575,TAYLOR 1
135,8085.917894736842,TAYLOR 1
136,8104.783684210526,TAYLOR 1
137,8123.64947368421,TAYLOR 1
138,8142.515263157894,TAYLOR 1
139,8161.381052631578,TAYLOR 1
140,8180.246842105263,TAYLOR 1
141,8199.112631578946,TAYLOR 1
142,8217.97842105263,TAYLOR 1
143,8236.844210526315,TAYLOR 1
0,5283.34,OLDHAM 1
1,5298.7735,OLDHAM 1
2,5314.207,OLDHAM 1
3,5329.6405,OLDHAM 1
4,5345.0740000000005,OLDHAM 1
5,5360.5075,OLDHAM 1
6,5375.941,OLDHAM 1
7,5391.3745,OLDHAM 1
8,5406.808,OLDHAM 1
9,5422.2415,OLDHAM 1
10,5437.675,OLDHAM 1
11,5453.1085,OLDHAM 1
12,5468.542,OLDHAM 1
13,5483.9755000000005,OLDHAM 1
14,5499.409000000001,OLDHAM 1
15,5514.842500000001,OLDHAM 1
16,5530.276,OLDHAM 1
17,5545.7095,OLDHAM 1
18,5561.143,OLDHAM 1
19,5576.5765,OLDHAM 1
20,5592.01,OLDHAM 1
21,5606.415625000001,OLDHAM 1
22,5620.82125,OLDHAM 1
23,5635.226875,OLDHAM 1
24,5649.6325,OLDHAM 1
25,5664.038125,OLDHAM 1
26,5678.44375,OLDHAM 1
27,5692.849375,OLDHAM 1
28,5707.255,OLDHAM 1
29,5721.660625,OLDHAM 1
30,5736.06625,OLDHAM 1
31,5750.471875,OLDHAM 1
32,5764.8775000000005,OLDHAM 1
33,5779.283125,OLDHAM 1
34,5793.68875,OLDHAM 1
35,5808.094375,OLDHAM 1
36,5822.5,OLDHAM 1
37,5837.016818181818,OLDHAM 1
38,5851.533636363636,OLDHAM 1
39,5866.050454545454,OLDHAM 1
40,5880.567272727273,OLDHAM 1
41,5895.084090909091,OLDHAM 1
42,5909.600909090909,OLDHAM 1
43,5924.117727272727,OLDHAM 1
44,5938.634545454545,OLDHAM 1
45,5953.151363636363,OLDHAM 1
46,5967.668181818181,OLDHAM 1
47,5982.1849999999995,OLDHAM 1
48,5996.701818181818,OLDHAM 1
49,6011.2186363636365,OLDHAM 1
50,6025.735454545455,OLDHAM 1
51,6040.252272727273,OLDHAM 1
52,6054.769090909091,OLDHAM 1
53,6069.285909090909,OLDHAM 1
54,6083.802727272727,OLDHAM 1
55,6098.319545454546,OLDHAM 1
56,6112.836363636364,OLDHAM 1
57,6127.353181818182,OLDHAM 1
58,6141.87,OLDHAM 1
59,6154.776666666667,OLDHAM 1
60,6167.683333333333,OLDHAM 1
61,6180.59,OLDHAM 1
62,6193.496666666667,OLDHAM 1
63,6206.403333333334,OLDHAM 1
64,6219.31,OLDHAM 1
65,6234.598333333333,OLDHAM 1
66,6249.886666666667,OLDHAM 1
67,6265.175,OLDHAM 1
68,6280.463333333334,OLDHAM 1
69,6295.751666666667,OLDHAM 1
70,6311.04,OLDHAM 1
71,6326.328333333334,OLDHAM 1
72,6341.616666666667,OLDHAM 1
73,6356.905000000001,OLDHAM 1
74,6372.193333333334,OLDHAM 1
75,6387.481666666667,OLDHAM 1
76,6402.77,OLDHAM 1
77,6418.058333333333,OLDHAM 1
78,6433.346666666666,OLDHAM 1
79,6448.635,OLDHAM 1
80,6463.923333333333,OLDHAM 1
81,6479.211666666667,OLDHAM 1
82,6494.5,OLDHAM 1
83,6508.58625,OLDHAM 1
84,6522.6725,OLDHAM 1
85,6536.75875,OLDHAM 1
86,6550.844999999999,OLDHAM 1
87,6564.93125,OLDHAM 1
88,6579.0175,OLDHAM 1
