Well,MD,Class 1,Class 2,Class 3,Class 3b,Class 4,MD(ft)
PEL_NQ_APO-1001A,2736.494815,0,0,1,0,0,8978.001648
PEL_NQ_APO-1001A,2736.526158,0,0,0,1,0,8978.104481
PEL_NQ_APO-1001A,2736.793938,3,0,0,0,0,8978.983024
PEL_NQ_APO-1001A,2737.285327,1,0,0,0,0,8980.595194
PEL_NQ_APO-1001A,2737.292587,0,1,0,0,0,8980.619012
PEL_NQ_APO-1001A,2737.330638,0,0,1,0,0,8980.743849
PEL_NQ_APO-1001A,2737.598457,3,0,0,0,0,8981.622521
PEL_NQ_APO-1001A,2737.782505,0,0,0,1,0,8982.226353
PEL_NQ_APO-1001A,2738.118766,1,0,0,0,0,8983.329571
PEL_NQ_APO-1001A,2738.126408,0,1,0,0,0,8983.354643
PEL_NQ_APO-1001A,2738.166461,0,0,1,0,0,8983.486051
PEL_NQ_APO-1001A,2738.402976,3,0,0,0,0,8984.262019
PEL_NQ_APO-1001A,2738.952204,1,0,0,0,0,8986.063949
PEL_NQ_APO-1001A,2738.960228,0,1,0,0,0,8986.090274
PEL_NQ_APO-1001A,2739.002284,0,0,1,0,0,8986.228253
PEL_NQ_APO-1001A,2739.038851,0,0,0,1,0,8986.348225
PEL_NQ_APO-1001A,2739.207495,3,0,0,0,0,8986.901516
PEL_NQ_APO-1001A,2739.785642,1,0,0,0,0,8988.798327
PEL_NQ_APO-1001A,2739.794048,0,1,0,0,0,8988.825905
PEL_NQ_APO-1001A,2739.838107,0,0,1,0,0,8988.970454
PEL_NQ_APO-1001A,2739.965139,0,3,0,0,0,8989.387226
PEL_NQ_APO-1001A,2740.012013,3,0,0,0,0,8989.541014
PEL_NQ_APO-1001A,2740.295198,0,0,0,1,0,8990.470097
PEL_NQ_APO-1001A,2740.619081,1,0,0,0,0,8991.532704
PEL_NQ_APO-1001A,2740.627869,0,1,0,0,0,8991.561537
PEL_NQ_APO-1001A,2740.67393,0,0,1,0,0,8991.712656
PEL_NQ_APO-1001A,2740.816532,3,0,0,0,0,8992.180512
PEL_NQ_APO-1001A,2741.452519,1,0,0,0,0,8994.267082
PEL_NQ_APO-1001A,2741.461689,0,1,0,0,0,8994.297168
PEL_NQ_APO-1001A,2741.509753,0,0,1,0,0,8994.454857
PEL_NQ_APO-1001A,2741.551544,0,0,0,1,0,8994.591969
PEL_NQ_APO-1001A,2741.553042,0,2,0,0,0,8994.596882
PEL_NQ_APO-1001A,2741.621051,3,0,0,0,0,8994.820009
PEL_NQ_APO-1001A,2742.285957,1,0,0,0,0,8997.00146
PEL_NQ_APO-1001A,2742.295509,0,1,0,0,0,8997.032799
PEL_NQ_APO-1001A,2742.345576,0,0,1,0,0,8997.197059
PEL_NQ_APO-1001A,2742.42557,3,0,0,0,0,8997.459507
PEL_NQ_APO-1001A,2742.46118,0,0,0,2,0,8997.576338
PEL_NQ_APO-1001A,2742.807891,0,0,0,1,0,8998.713841
PEL_NQ_APO-1001A,2743.119395,1,0,0,0,0,8999.735838
PEL_NQ_APO-1001A,2743.12933,0,1,0,0,0,8999.76843
PEL_NQ_APO-1001A,2743.181399,0,0,1,0,0,8999.939261
PEL_NQ_APO-1001A,2743.230089,3,0,0,0,0,9000.099004
PEL_NQ_APO-1001A,2743.952834,1,0,0,0,0,9002.470215
PEL_NQ_APO-1001A,2743.96315,0,1,0,0,0,9002.504062
PEL_NQ_APO-1001A,2744.017222,0,0,1,0,0,9002.681462
PEL_NQ_APO-1001A,2744.034608,3,0,0,0,0,9002.738502
PEL_NQ_APO-1001A,2744.064237,0,0,0,1,0,9002.835713
PEL_NQ_APO-1001A,2744.786272,1,0,0,0,0,9005.204593
PEL_NQ_APO-1001A,2744.796971,0,1,0,0,0,9005.239693
PEL_NQ_APO-1001A,2744.839126,3,0,0,0,0,9005.378
PEL_NQ_APO-1001A,2744.853045,0,0,1,0,0,9005.423664
PEL_NQ_APO-1001A,2745.320584,0,0,0,1,0,9006.957585
PEL_NQ_APO-1001A,2745.61971,1,0,0,0,0,9007.938971
PEL_NQ_APO-1001A,2745.630791,0,1,0,0,0,9007.975324
PEL_NQ_APO-1001A,2745.643645,3,0,0,0,0,9008.017497
PEL_NQ_APO-1001A,2745.688868,0,0,1,0,0,9008.165866
PEL_NQ_APO-1001A,2746.448164,3,0,0,0,0,9010.656995
PEL_NQ_APO-1001A,2746.453149,1,0,0,0,0,9010.673348
PEL_NQ_APO-1001A,2746.464611,0,1,0,0,0,9010.710955
PEL_NQ_APO-1001A,2746.524691,0,0,1,0,0,9010.908067
PEL_NQ_APO-1001A,2746.57693,0,0,0,1,0,9011.079456
PEL_NQ_APO-1001A,2747.252683,3,0,0,0,0,9013.296492
PEL_NQ_APO-1001A,2747.286587,1,0,0,0,0,9013.407726
PEL_NQ_APO-1001A,2747.298432,0,1,0,0,0,9013.446587
PEL_NQ_APO-1001A,2747.360514,0,0,1,0,0,9013.650269
PEL_NQ_APO-1001A,2747.833277,0,0,0,1,0,9015.201328
PEL_NQ_APO-1001A,2748.057202,3,0,0,0,0,9015.93599
PEL_NQ_APO-1001A,2748.120025,1,0,0,0,0,9016.142104
PEL_NQ_APO-1001A,2748.132252,0,1,0,0,0,9016.182218
PEL_NQ_APO-1001A,2748.196337,0,0,1,0,0,9016.392471
PEL_NQ_APO-1001A,2748.861721,3,0,0,0,0,9018.575488
PEL_NQ_APO-1001A,2748.953464,1,0,0,0,0,9018.876481
PEL_NQ_APO-1001A,2748.966072,0,1,0,0,0,9018.917849
PEL_NQ_APO-1001A,2749.03216,0,0,1,0,0,9019.134672
PEL_NQ_APO-1001A,2749.089623,0,0,0,1,0,9019.3232
PEL_NQ_APO-1001A,2749.666239,3,0,0,0,0,9021.214985
PEL_NQ_APO-1001A,2749.786902,1,0,0,0,0,9021.610859
PEL_NQ_APO-1001A,2749.799893,0,1,0,0,0,9021.65348
PEL_NQ_APO-1001A,2749.867983,0,0,1,0,0,9021.876874
PEL_NQ_APO-1001A,2750.260764,0,0,0,2,0,9023.165526
PEL_NQ_APO-1001A,2750.34597,0,0,0,1,0,9023.445072
PEL_NQ_APO-1001A,2750.470758,3,0,0,0,0,9023.854483
PEL_NQ_APO-1001A,2750.62034,1,0,0,0,0,9024.345237
PEL_NQ_APO-1001A,2750.633713,0,1,0,0,0,9024.389112
PEL_NQ_APO-1001A,2750.703806,0,0,1,0,0,9024.619076
PEL_NQ_APO-1001A,2750.756463,0,2,0,0,0,9024.791834
PEL_NQ_APO-1001A,2751.275277,3,0,0,0,0,9026.49398
PEL_NQ_APO-1001A,2751.453778,1,0,0,0,0,9027.079614
PEL_NQ_APO-1001A,2751.467534,0,1,0,0,0,9027.124743
PEL_NQ_APO-1001A,2751.539629,0,0,1,0,0,9027.361277
PEL_NQ_APO-1001A,2751.602317,0,0,0,1,0,9027.566944
PEL_NQ_APO-1001A,2752.079796,3,0,0,0,0,9029.133478
PEL_NQ_APO-1001A,2752.157344,2,0,0,0,0,9029.3879
PEL_NQ_APO-1001A,2752.287217,1,0,0,0,0,9029.813992
PEL_NQ_APO-1001A,2752.301354,0,1,0,0,0,9029.860374
PEL_NQ_APO-1001A,2752.375452,0,0,1,0,0,9030.103479
PEL_NQ_APO-1001A,2752.858663,0,0,0,1,0,9031.688816
PEL_NQ_APO-1001A,2752.884315,3,0,0,0,0,9031.772976
PEL_NQ_APO-1001A,2753.120655,1,0,0,0,0,9032.54837
PEL_NQ_APO-1001A,2753.135174,0,1,0,0,0,9032.596005
PEL_NQ_APO-1001A,2753.211275,0,0,1,0,0,9032.84568
PEL_NQ_APO-1001A,2753.501684,0,3,0,0,0,9033.798464
PEL_NQ_APO-1001A,2753.688834,3,0,0,0,0,9034.412473
PEL_NQ_APO-1001A,2753.954093,1,0,0,0,0,9035.282747
PEL_NQ_APO-1001A,2753.968995,0,1,0,0,0,9035.331637
PEL_NQ_APO-1001A,2754.047098,0,0,1,0,0,9035.587882
PEL_NQ_APO-1001A,2754.11501,0,0,0,1,0,9035.810688
PEL_NQ_APO-1001A,2754.493353,3,0,0,0,0,9037.051971
PEL_NQ_APO-1001A,2754.787532,1,0,0,0,0,9038.017125
PEL_NQ_APO-1001A,2754.802815,0,1,0,0,0,9038.067268
PEL_NQ_APO-1001A,2754.882921,0,0,1,0,0,9038.330084
PEL_NQ_APO-1001A,2755.297871,3,0,0,0,0,9039.691468
PEL_NQ_APO-1001A,2755.371356,0,0,0,1,0,9039.93256
PEL_NQ_APO-1001A,2755.62097,1,0,0,0,0,9040.751503
PEL_NQ_APO-1001A,2755.636635,0,1,0,0,0,9040.802899
